#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-01-18 21:27:12
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2013-01-18 21:27:12 W3SVC60 208.123.218.206 GET /robots.txt - 80 - 66.249.73.154 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 404 0 2
2013-01-18 21:27:12 W3SVC60 208.123.218.206 GET /images/upload2.png - 80 - 66.249.73.154 Googlebot-Image/1.0 304 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-01-18 22:02:50
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/wedgewood.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /images/failed.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:55 W3SVC60 208.123.218.206 GET /GP_city7/images/break.jpg - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /GP_city7/images/blackgrad2.jpg - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /GP_city7/map20a.php - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /images/287867_1.jpg - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /GP_city7/images/testriver.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /images/409562_1.jpg - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /GP_city7/images/toppic.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /GP_city7/images/restrictive.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /images/394059_1.jpg - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /GP_city7/images/houseimg.jpg - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /GP_city7/images/cityflash.swf - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /GP_city7/images/photoimg.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /referralflash.swf - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /images/252148_1.jpg - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /GP_city7/images/century21.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /images/loading-gif.gif - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /servicesflash.swf - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /GP_city7/images/noman.jpg - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /dailyflash.swf - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /images/ATB+Logo.jpg - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /images/Screen+Shot+2011-07-26+at+12.42.15+PM.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:56 W3SVC60 208.123.218.206 GET /GP_city7/images/group_icon.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
